run_id,group_id,dataset,model,imr,seed_alias,acc_pct,wf1_pct,recorded_best_epoch,recorded_dev_wf1_pct,source_status,process_return_code,nonzero_exit,log_available,log_metrics_match,evidence_id
G15-seed1,G15,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",seed1,68.02218114602587,67.75203317053749,21,68.62677272398379,ok,3221226505,True,True,True,G15-seed1-E
G15-seed2,G15,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",seed2,67.52926678989526,67.15352225951497,17,72.61170966595422,ok,3221226505,True,True,True,G15-seed2-E
G15-seed3,G15,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",seed3,68.82316697473814,68.21791779533261,20,67.82306880024187,ok,3221226505,True,True,True,G15-seed3-E
G15-seed4,G15,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",seed4,69.37769562538509,69.37554126835803,18,69.01519302487945,ok,3221226505,True,True,True,G15-seed4-E
G15-seed5,G15,IEMOCAP,MM-DFN+AMBER,"(0.5,0.3,0.7)",seed5,68.39186691312385,68.08306319721152,17,65.5815519609025,ok,3221226505,True,True,True,G15-seed5-E
G16-seed1,G16,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",seed1,65.68083795440542,64.87022739564956,18,63.34311425688429,ok,3221226505,True,True,True,G16-seed1-E
G16-seed2,G16,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",seed2,64.32532347504622,63.826397614441724,21,59.78252837477447,ok,3221226505,True,True,True,G16-seed2-E
G16-seed3,G16,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",seed3,64.51016635859519,63.73762385637149,19,69.03498010962788,ok,3221226505,True,True,True,G16-seed3-E
G16-seed4,G16,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",seed4,65.06469500924214,64.51933679581443,22,62.38571480354126,ok,3221226505,True,True,True,G16-seed4-E
G16-seed5,G16,IEMOCAP,MM-DFN+AMBER,"(0.5,0.7,0.3)",seed5,63.709180529882936,63.363426407585486,26,59.76554533123459,ok,3221226505,True,True,True,G16-seed5-E
G17-seed1,G17,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",seed1,68.0837954405422,67.97248348993719,21,66.44793384306884,ok,3221226505,True,True,True,G17-seed1-E
G17-seed2,G17,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",seed2,68.63832409118915,68.2688763846233,21,66.49951673568482,ok,3221226505,True,True,True,G17-seed2-E
G17-seed3,G17,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",seed3,67.15958102279728,66.8624492442589,11,69.09740819967452,ok,3221226505,True,True,True,G17-seed3-E
G17-seed4,G17,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",seed4,67.15958102279728,67.10345351671776,17,61.80805721630176,ok,3221226505,True,True,True,G17-seed4-E
G17-seed5,G17,IEMOCAP,MM-DFN+AMBER,"(0.7,0.3,0.5)",seed5,67.22119531731362,66.8231590947111,29,67.8367125462413,ok,3221226505,True,True,True,G17-seed5-E
G18-seed1,G18,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",seed1,66.66666666666666,65.96822567271182,21,65.84376267217004,ok,3221226505,True,True,True,G18-seed1-E
G18-seed2,G18,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",seed2,66.29698089956871,66.22434969869082,14,64.08862756432443,ok,3221226505,True,True,True,G18-seed2-E
G18-seed3,G18,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",seed3,65.55760936537277,65.56929771386022,17,64.11854068827769,ok,3221226505,True,True,True,G18-seed3-E
G18-seed4,G18,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",seed4,66.66666666666666,65.83444130190134,17,71.23071054158005,ok,3221226505,True,True,True,G18-seed4-E
G18-seed5,G18,IEMOCAP,MM-DFN+AMBER,"(0.7,0.5,0.3)",seed5,67.28280961182995,66.10794186500078,27,60.20048072424638,ok,3221226505,True,True,True,G18-seed5-E
G19-seed1,G19,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",seed1,82.00330214639516,81.72936007557827,13,82.27220391136802,ok,3221226505,True,True,True,G19-seed1-E
G19-seed2,G19,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",seed2,81.7556411667584,81.39365752840372,14,82.44709678143771,ok,3221226505,True,True,True,G19-seed2-E
G19-seed3,G19,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",seed3,82.11337369290038,81.96437509557731,17,82.79385987976508,ok,3221226505,True,True,True,G19-seed3-E
G19-seed4,G19,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",seed4,81.50798018712163,81.51355428983244,16,81.65170780922881,ok,3221226505,True,True,True,G19-seed4-E
G19-seed5,G19,CMU-MOSEI,GCNet+AMBER,"(0.3,0.5,0.7)",seed5,81.452944413869,81.38152958845131,26,80.78023081491268,ok,3221226505,True,True,True,G19-seed5-E
G20-seed1,G20,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",seed1,79.38910291689598,79.29385916288727,21,78.2640614975686,ok,3221226505,True,True,True,G20-seed1-E
G20-seed2,G20,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",seed2,80.68244358833242,80.60806197491516,14,78.95057846856135,ok,3221226505,True,True,True,G20-seed2-E
G20-seed3,G20,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",seed3,79.38910291689598,79.06415051972841,17,80.21968270665576,ok,3221226505,True,True,True,G20-seed3-E
G20-seed4,G20,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",seed4,79.52669235002752,79.01330301374674,16,77.39420593526955,ok,3221226505,True,True,True,G20-seed4-E
G20-seed5,G20,CMU-MOSEI,GCNet+AMBER,"(0.3,0.7,0.5)",seed5,78.97633461750138,78.99516014707888,30,79.36133672863868,ok,3221226505,True,True,True,G20-seed5-E
G21-seed1,G21,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",seed1,83.7369290038525,83.5290022054826,14,84.78497990272005,ok,3221226505,True,True,True,G21-seed1-E
G21-seed2,G21,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",seed2,84.34232250963126,84.07116392730083,18,83.82647558323943,ok,3221226505,True,True,True,G21-seed2-E
G21-seed3,G21,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",seed3,85.08530544854155,84.81859740317704,13,83.49333599284431,ok,3221226505,True,True,True,G21-seed3-E
G21-seed4,G21,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",seed4,84.03962575674188,83.9156648469653,13,84.18461622601924,ok,3221226505,True,True,True,G21-seed4-E
G21-seed5,G21,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",seed5,83.6818932305999,83.46647607494411,13,84.28309858985912,ok,3221226505,True,True,True,G21-seed5-E
G22-seed1,G22,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",seed1,79.38910291689598,78.99455910599322,22,79.87134452534012,ok,3221226505,True,True,True,G22-seed1-E
G22-seed2,G22,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",seed2,78.72867363786462,78.22458750757552,24,79.20853329054626,ok,3221226505,True,True,True,G22-seed2-E
