cell_id,group_id,table,dataset,model,imr,metric,statistic,reported_value,recomputed_value,rounded_recomputed,matches_2dp,run_ids
T3-G21-acc-std,G21,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",Acc,std,0.57,0.5722794260617873,0.57,True,G21-seed1;G21-seed2;G21-seed3;G21-seed4;G21-seed5
T3-G21-wf1-mean,G21,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",w-F1,mean,83.96,83.96018089157397,83.96,True,G21-seed1;G21-seed2;G21-seed3;G21-seed4;G21-seed5
T3-G21-wf1-std,G21,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.3,0.7)",w-F1,std,0.54,0.5433316954546581,0.54,True,G21-seed1;G21-seed2;G21-seed3;G21-seed4;G21-seed5
T3-G22-acc-mean,G22,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",Acc,mean,78.92,78.9157952669235,78.92,True,G22-seed1;G22-seed2;G22-seed3;G22-seed4;G22-seed5
T3-G22-acc-std,G22,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",Acc,std,0.34,0.34446854866892485,0.34,True,G22-seed1;G22-seed2;G22-seed3;G22-seed4;G22-seed5
T3-G22-wf1-mean,G22,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",w-F1,mean,78.61,78.60634912907642,78.61,True,G22-seed1;G22-seed2;G22-seed3;G22-seed4;G22-seed5
T3-G22-wf1-std,G22,3,CMU-MOSEI,GCNet+AMBER,"(0.5,0.7,0.3)",w-F1,std,0.43,0.43461811638033127,0.43,True,G22-seed1;G22-seed2;G22-seed3;G22-seed4;G22-seed5
T3-G23-acc-mean,G23,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",Acc,mean,84.07,84.07264722069345,84.07,True,G23-seed1;G23-seed2;G23-seed3;G23-seed4;G23-seed5
T3-G23-acc-std,G23,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",Acc,std,0.29,0.29406824452157343,0.29,True,G23-seed1;G23-seed2;G23-seed3;G23-seed4;G23-seed5
T3-G23-wf1-mean,G23,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",w-F1,mean,83.92,83.92344581073536,83.92,True,G23-seed1;G23-seed2;G23-seed3;G23-seed4;G23-seed5
