run_id,group_id,dataset,model,imr,seed_alias,log_file,original_log_sha256,redacted_log_sha256,original_line_count,retained_original_line_count,sanitized_line_count,removed_line_count,epoch_summary_count,final_best_epoch,final_acc_pct,final_wf1_pct,best_report_acc,best_report_weighted_f1,best_report_support,best_report_matches_final_scalars_4dp,source_status,process_return_code
G08-seed4,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed4,run_logs/G08/G08-seed4.log,55f9c1b5da413b838655476af9fbf0b408ec81c55623f1ed48733cee3afc8728,ccc5c2cd91e2233291f8cc9d00dd987b9a5f7df477890e329590b538667624d4,1572,523,2,1047,61,35,63.709180529882936,62.89025481617221,0.6371,0.6289,1623,True,ok,3221226505
G08-seed5,G08,IEMOCAP,MMGCN+AMBER,"(0.3,0.7,0.5)",seed5,run_logs/G08/G08-seed5.log,84d64b0aa3b6ff570dee933bd2c7e94c10ce3266165e18aec4d976841403440e,67713ad2f670d675ac5e16833174923a92146dea09a0b5d24be220473df8734d,1860,619,2,1239,73,47,63.21626617375231,62.80745726556749,0.6322,0.6281,1623,True,ok,3221226505
G09-seed1,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed1,run_logs/G09/G09-seed1.log,8d064b4f752b7866c5e3128b851ea0f85c43dce738aedcdd9860385901c96f15,edca20e11a9bbb9d2880e730c81e7da5cefb8c6d7c5db95e4600e51d6ed5809a,1716,571,2,1143,67,41,65.68083795440542,65.4748540115977,0.6568,0.6547,1623,True,ok,3221226505
G09-seed2,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed2,run_logs/G09/G09-seed2.log,91abf6c90db75171fef7e212d910d4344ffa8cf42e2ddd3fb26e88ef146f8238,8593945ac571a0303591ab4b693da3124ae6dbc723cc3af962da90ea43526f21,2052,683,2,1367,81,55,64.87985212569316,64.99125704936449,0.6488,0.6499,1623,True,ok,3221226505
G09-seed3,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed3,run_logs/G09/G09-seed3.log,90cee83b5160c78eb3202e148aa6814a57d002277d514ace90ff15b6788e9e68,e9dfb19f24e435d0172ecaee234e627a2ac17fa25f29c94ee1183bf604b69ecd,1596,531,2,1063,62,36,66.11213801601971,65.88218947206008,0.6611,0.6588,1623,True,ok,3221226505
G09-seed4,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed4,run_logs/G09/G09-seed4.log,878b8a1cddf0799bcbdacf9bdbf26c8d94433123a79aaec7aad07e80b58a401a,b91664bbb9a1e152f413f025cdfe36855532579d13a44d8d4bf412a8612c61a4,1452,483,2,967,56,30,64.9414664202095,64.56792910890327,0.6494,0.6457,1623,True,ok,3221226505
G09-seed5,G09,IEMOCAP,MMGCN+AMBER,"(0.5,0.3,0.7)",seed5,run_logs/G09/G09-seed5.log,7370ac1687d4fd06948f98ee3d84afc770f84483d05906650d9f2579c84283a7,33374b121833a430f9f4af71b54d96dda8ffec32af60fea79b35f2bf542d10d4,1548,515,2,1031,60,34,65.4343807763401,65.33613837000537,0.6543,0.6534,1623,True,ok,3221226505
G10-seed1,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed1,run_logs/G10/G10-seed1.log,34358928839c9de363e0d090151e0062bcb147812e584dca5e2593902bcce09a,5bdc84a1649103bb76f617cae4148584b79f170a70da006da325973781ea1c8a,2412,803,2,1607,96,70,63.462723351817615,62.91498868971429,0.6346,0.6291,1623,True,ok,3221226505
G10-seed2,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed2,run_logs/G10/G10-seed2.log,4c6d0d242232295f6384fa629567c4281c2435f8c38679b036ac47edcd7b314a,6307160e1ba780fa42eba6f7fc4b1149002633e030158ff21df3cb4e358c0787,2052,683,2,1367,81,55,63.09303758471966,62.78322398827252,0.6309,0.6278,1623,True,ok,3221226505
G10-seed3,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed3,run_logs/G10/G10-seed3.log,2d677f7037e21ba36094e03b1367b38a983494023522e25e11b1e178b87ff594,52d33adbc2e8508041bcf94e5cc2a9496ce56b5dd2c7ee3fb3380a20d92172e3,1788,595,2,1191,70,44,62.04559457794209,61.57208173991149,0.6205,0.6157,1623,True,ok,3221226505
G10-seed4,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed4,run_logs/G10/G10-seed4.log,197485826dd5edcb0ac9a5437af6f30b92ef2c3e215cb90b36a6420b88f4e6d6,8087ca1cd83a90562acd2140f4e2d94f6588aff235458d3540523b76994c763a,2124,707,2,1415,84,58,62.35366605052373,62.205533479341376,0.6235,0.6221,1623,True,ok,3221226505
G10-seed5,G10,IEMOCAP,MMGCN+AMBER,"(0.5,0.7,0.3)",seed5,run_logs/G10/G10-seed5.log,1ba555ddc93f29e85eea05469c3486507e285ea67f2e3079191083d1180980e7,76a38d45f94b116c604e456a572d25d1788e2325e756c73df506b88cab144b9d,1788,595,2,1191,70,44,63.95563770794824,63.935483313853815,0.6396,0.6394,1623,True,ok,3221226505
G11-seed1,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed1,run_logs/G11/G11-seed1.log,cc6e2c16ebd987247d2153c4a19092561d84563899d16108086b9f732931cb57,70ea177cb6bfe1707ab840d0d149682bca83388ec0f6b35d42f98792ac1e55c9,1836,611,2,1223,72,46,65.92729513247073,65.75720554601101,0.6593,0.6576,1623,True,ok,3221226505
G11-seed2,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed2,run_logs/G11/G11-seed2.log,739be5bc248323b6eefd5d9e0bb3c744cc55b341468f061ae29ac4245915d9ba,e7921ebc44996ac8213f1fe7922dfb2c7894c25a10378e3e601f2fc49dac0a7b,2772,923,2,1847,111,85,62.90819470117067,63.092991419708476,0.6291,0.6309,1623,True,ok,3221226505
G11-seed3,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed3,run_logs/G11/G11-seed3.log,8bfed8310350ec44fff2b6619541dc58dd79b4bfc3ebcb74202874727505fa8a,e87f6632672ab4827b8cfe3ba4628d669570fe597a87ef32b8a2d5ad5440497d,1812,603,2,1207,71,45,63.15465187923598,62.70384714463073,0.6315,0.627,1623,True,ok,3221226505
G11-seed4,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed4,run_logs/G11/G11-seed4.log,55225b1509e48fe8ceb8be746e2146f9af29e534b94a2f1adc72d2b2f8ea5db2,ab490cae3e1ec02090ba92dce6ce4ba33aa02154d49606a63fc8aa15f890d432,1716,571,2,1143,67,41,65.68083795440542,65.2677348069507,0.6568,0.6527,1623,True,ok,3221226505
G11-seed5,G11,IEMOCAP,MMGCN+AMBER,"(0.7,0.3,0.5)",seed5,run_logs/G11/G11-seed5.log,e36a6b6c92f10597ee11102a43619c6086dc1c42d35a1b8e55d27ad92041095c,0c4aaf7aec95f16f619523d7ed216a5c4f43622b30098d7471951e9b37625517,1692,563,2,1127,66,40,62.600123228589034,62.60456362615301,0.626,0.626,1623,True,ok,3221226505
G12-seed1,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed1,run_logs/G12/G12-seed1.log,c222e95a79a13d7d9faa81e75de52db89ff603eef10fc462e87648bf4408ccd6,2c959c2db2314ea5cfd939f853d5e89a702e881b15cf4056869b50a96f7e9b64,1932,643,2,1287,76,50,64.20209488601355,63.6810072848093,0.642,0.6368,1623,True,ok,3221226505
G12-seed2,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed2,run_logs/G12/G12-seed2.log,df4d595c91966d7d29da0bf89d93543931e768a2adb5db9ec357f556c074f5e1,755ca0a6390f92a35d91bd4a5a03ae52b2043d03a234946fcd0cd69181f2c671,2124,707,2,1415,84,58,62.10720887245841,62.262159792703365,0.6211,0.6226,1623,True,ok,3221226505
G12-seed3,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed3,run_logs/G12/G12-seed3.log,a28d9c937cdcfb21c7856571fca7fb728050de8acfe51d62fafa4013753fc26c,a9a36a4dfbccab9c4760266bdc1dcc550c34e99f69d763a38d787ea701345ed9,1500,499,2,999,58,32,62.78496611213802,62.32082037156045,0.6278,0.6232,1623,True,ok,3221226505
G12-seed4,G12,IEMOCAP,MMGCN+AMBER,"(0.7,0.5,0.3)",seed4,run_logs/G12/G12-seed4.log,cc9a7be077a8f57010af392765a8e2f7c1c020914f96ef3b476d8d0f329fcd1a,39484e6b6a346a61ff81d93afdd9ec9c47497812d1756664f9f794a1914ccc39,1668,555,2,1111,65,39,63.647566235366604,63.54087936246538,0.6365,0.6354,1623,True,ok,3221226505
