group_id,table,metric,comparison,reference_count,reported_delta,recomputed_from_printed_means,matches_2dp,recomputed_from_unrounded_amber,matches_unrounded_amber_2dp,scope
G26,3,w-F1,Group 1 mean,7,5.46,5.455714285714279,True,5.4562265207158305,True,arithmetic_only_baselines_not_run_verified
G27,3,Acc,original,1,0.25,0.25,True,0.24825536598788744,True,arithmetic_only_baselines_not_run_verified
G27,3,Acc,Group 1 mean,7,3.68,3.681428571428583,True,3.6796839374164705,True,arithmetic_only_baselines_not_run_verified
G27,3,w-F1,original,1,0.27,0.27000000000001023,True,0.2729852036008964,True,arithmetic_only_baselines_not_run_verified
G27,3,w-F1,Group 1 mean,7,4.0,3.9957142857142856,True,3.9986994893151717,True,arithmetic_only_baselines_not_run_verified
G28,3,Acc,original,1,2.08,2.0799999999999983,True,2.083632361034674,True,arithmetic_only_baselines_not_run_verified
G28,3,Acc,Group 1 mean,7,4.49,4.488571428571433,True,4.492203789606108,True,arithmetic_only_baselines_not_run_verified
G28,3,w-F1,original,1,1.78,1.7800000000000011,True,1.783258438123255,True,arithmetic_only_baselines_not_run_verified
G28,3,w-F1,Group 1 mean,7,4.71,4.7071428571428555,True,4.710401295266109,True,arithmetic_only_baselines_not_run_verified
G29,3,Acc,original,1,0.83,0.8299999999999983,True,0.8251623555310914,True,arithmetic_only_baselines_not_run_verified
G29,3,Acc,Group 1 mean,7,3.59,3.5928571428571416,True,3.5880194983882348,True,arithmetic_only_baselines_not_run_verified
G29,3,w-F1,original,1,0.7,0.6999999999999886,True,0.7027769103368371,True,arithmetic_only_baselines_not_run_verified
G29,3,w-F1,Group 1 mean,7,3.87,3.8699999999999903,True,3.872776910336839,True,arithmetic_only_baselines_not_run_verified
G30,3,Acc,original,1,1.44,1.4399999999999977,True,1.4374353329664302,True,arithmetic_only_baselines_not_run_verified
G30,3,Acc,Group 1 mean,7,3.91,3.9085714285714346,True,3.906006761537867,True,arithmetic_only_baselines_not_run_verified
G30,3,w-F1,original,1,1.18,1.1799999999999926,True,1.1830979213597033,True,arithmetic_only_baselines_not_run_verified
G30,3,w-F1,Group 1 mean,7,4.15,4.1485714285714295,True,4.15166934993114,True,arithmetic_only_baselines_not_run_verified
G31,3,Acc,original,1,0.58,0.5799999999999983,True,0.5817886626307001,True,arithmetic_only_baselines_not_run_verified
G31,3,Acc,Group 1 mean,7,3.58,3.578571428571422,True,3.580360091202124,True,arithmetic_only_baselines_not_run_verified
G31,3,w-F1,original,1,0.96,0.9599999999999937,True,0.9593564062485314,True,arithmetic_only_baselines_not_run_verified
G31,3,w-F1,Group 1 mean,7,3.97,3.9685714285714226,True,3.9679278348199603,True,arithmetic_only_baselines_not_run_verified
G32,3,Acc,original,1,1.45,1.4499999999999886,True,1.4538855255916303,True,arithmetic_only_baselines_not_run_verified
G32,3,Acc,Group 1 mean,7,4.44,4.439999999999998,True,4.443885525591639,True,arithmetic_only_baselines_not_run_verified
G32,3,w-F1,original,1,1.35,1.3499999999999943,True,1.3515162255932296,True,arithmetic_only_baselines_not_run_verified
G32,3,w-F1,Group 1 mean,7,5.18,5.175714285714278,True,5.177230511307513,True,arithmetic_only_baselines_not_run_verified
G33,3,Acc,original,1,0.63,0.6299999999999955,True,0.6301265822784785,True,arithmetic_only_baselines_not_run_verified
G33,3,Acc,Group 1 mean,7,3.48,3.48142857142858,True,3.4815551537070633,True,arithmetic_only_baselines_not_run_verified
G33,3,w-F1,original,1,0.8,0.7999999999999972,True,0.8046704722113986,True,arithmetic_only_baselines_not_run_verified
G33,3,w-F1,Group 1 mean,7,3.85,3.84571428571428,True,3.8503847579256814,True,arithmetic_only_baselines_not_run_verified
G34,3,Acc,original,1,0.95,0.9499999999999886,True,0.9538855255916303,True,arithmetic_only_baselines_not_run_verified
G34,3,Acc,Group 1 mean,7,4.11,4.108571428571423,True,4.112456954163065,True,arithmetic_only_baselines_not_run_verified
G34,3,w-F1,original,1,0.52,0.519999999999996,True,0.5230556291067927,True,arithmetic_only_baselines_not_run_verified
G34,3,w-F1,Group 1 mean,7,4.31,4.30714285714285,True,4.3101984862496465,True,arithmetic_only_baselines_not_run_verified
G35,3,Acc,original,1,0.59,0.5899999999999892,True,0.5942267473857896,True,arithmetic_only_baselines_not_run_verified
G35,3,Acc,Group 1 mean,7,3.69,3.682857142857131,False,3.6870838902429313,True,arithmetic_only_baselines_not_run_verified
G35,3,w-F1,original,1,0.55,0.5499999999999972,True,0.5499016213430963,True,arithmetic_only_baselines_not_run_verified
G35,3,w-F1,Group 1 mean,7,3.98,3.9799999999999898,True,3.979901621343089,True,arithmetic_only_baselines_not_run_verified
G36,3,Acc,original,1,0.97,0.9699999999999989,True,0.9663566318106831,True,arithmetic_only_baselines_not_run_verified
G36,3,Acc,Group 1 mean,7,3.78,3.78857142857143,False,3.7849280603821143,True,arithmetic_only_baselines_not_run_verified
G36,3,w-F1,original,1,0.99,0.9900000000000091,True,0.9897898365305338,True,arithmetic_only_baselines_not_run_verified
G36,3,w-F1,Group 1 mean,7,4.03,4.028571428571439,True,4.028361265101964,True,arithmetic_only_baselines_not_run_verified
