group_id,table,dataset,model,imr,run_count,source_id,aggregate_source_line,acc_mean,acc_std,paper_acc_mean,paper_acc_std,original_acc,balm_acc,delta_vs_original_acc,delta_vs_balm_acc,wf1_mean,wf1_std,paper_wf1_mean,paper_wf1_std,original_wf1,balm_wf1,delta_vs_original_wf1,delta_vs_balm_wf1
G23,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.3,0.5)",5,S02,12,84.07264722069345,0.29406824452157343,84.07,0.29,83.76,83.63,0.3126472206934494,0.4426472206934591,83.92344581073536,0.34793169836449883,83.92,0.35,83.57,83.57,0.35344581073536574,0.35344581073536574
G24,3,CMU-MOSEI,GCNet+AMBER,"(0.7,0.5,0.3)",5,S02,13,82.30599889928453,0.23671781142109782,82.31,0.24,81.45,82.09,0.8559988992845291,0.21599889928452853,82.15770910736674,0.28373980734379023,82.16,0.28,81.24,81.84,0.9177091073667469,0.3177091073667384
G25,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.5,0.7)",5,S01,20,82.71876719867913,0.14946038100165354,82.72,0.15,80.82,82.03,1.8987671986791383,0.6887671986791304,82.58694541139307,0.12522175109405007,82.59,0.13,80.2,81.74,2.3869454113930715,0.8469454113930794
G26,3,CMU-MOSEI,MMGCN+AMBER,"(0.3,0.7,0.5)",5,S01,21,80.20913593835994,0.23543477860437148,80.21,0.24,78.32,78.73,1.8891359383599422,1.4791359383599314,79.77051223500155,0.23996651178914902,79.77,0.24,77.35,78.33,2.420512235001553,1.440512235001549
G27,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.3,0.7)",5,S01,22,85.00825536598789,0.20902728689964847,85.01,0.21,84.76,84.54,0.24825536598788744,0.4682553659878863,84.87298520360089,0.1903289230937576,84.87,0.19,84.6,84.34,0.2729852036008964,0.5329852036008873
G28,3,CMU-MOSEI,MMGCN+AMBER,"(0.5,0.7,0.3)",5,S01,23,80.20363236103468,0.5522806253957995,80.2,0.55,78.12,79.83,2.083632361034674,0.3736323610346801,79.95325843812326,0.49388147361707846,79.95,0.49,78.17,79.44,1.783258438123255,0.513258438123259
G29,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.3,0.5)",5,S01,24,84.8651623555311,0.15444375564559326,84.87,0.15,84.04,84.84,0.8251623555310914,0.02516235553109425,84.74277691033684,0.14796905606016816,84.74,0.15,84.04,84.7,0.7027769103368371,0.0427769103368405
G30,3,CMU-MOSEI,MMGCN+AMBER,"(0.7,0.5,0.3)",5,S01,25,82.97743533296644,0.3067966699431734,82.98,0.31,81.54,82.5,1.4374353329664302,0.4774353329664365,82.80309792135971,0.2383366788541802,82.8,0.24,81.62,82.36,1.1830979213597033,0.4430979213597084
G31,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.5,0.7)",5,S01,26,82.7517886626307,0.2187628719246206,82.75,0.22,82.17,82.06,0.5817886626307001,0.6917886626306995,82.71935640624854,0.17219752315036216,82.72,0.17,81.76,81.73,0.9593564062485314,0.9893564062485325
G32,3,CMU-MOSEI,MM-DFN+AMBER,"(0.3,0.7,0.5)",5,S01,27,79.82388552559163,0.20811965218700026,79.82,0.21,78.37,78.81,1.4538855255916303,1.0138855255916326,79.49151622559323,0.1993503679726689,79.49,0.2,78.14,78.5,1.3515162255932296,0.9915162255932302
G33,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.3,0.7)",5,S01,28,84.81012658227849,0.07015712044018453,84.81,0.07,84.18,84.34,0.6301265822784785,0.4701265822784819,84.7246704722114,0.1388370634336772,84.72,0.14,83.92,84.14,0.8046704722113986,0.5846704722113998
G34,3,CMU-MOSEI,MM-DFN+AMBER,"(0.5,0.7,0.3)",5,S01,29,79.82388552559163,0.2330100509633089,79.82,0.23,78.87,79.36,0.9538855255916303,0.46388552559163543,79.5530556291068,0.05104272406831218,79.55,0.05,79.03,79.19,0.5230556291067927,0.3630556291067961
G35,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.3,0.5)",5,S01,30,84.9642267473858,0.2863711775618698,84.96,0.29,84.37,84.78,0.5942267473857896,0.18422674738579303,84.8499016213431,0.27073831749827976,84.85,0.27,84.3,84.68,0.5499016213430963,0.16990162134308662
G36,3,CMU-MOSEI,MM-DFN+AMBER,"(0.7,0.5,0.3)",5,S01,31,82.85635663181068,0.6658532544063183,82.86,0.67,81.89,82.53,0.9663566318106831,0.32635663181068253,82.67978983653053,0.59948527356141,82.68,0.6,81.69,82.29,0.9897898365305338,0.38978983653052524
